book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url
110,10572,10572,3272005,202,553381695,9.7805533817e+12,George R.R. Martin,1998.0,A Clash of Kings,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng,4.4,523303,606765,20325,1788,7104,56167,221706,320000,https://images.gr-assets.com/books/1358254974m/10572.jpg,https://images.gr-assets.com/books/1358254974s/10572.jpg
111,10441,10441,2868431,98,143037145,9.78014303715e+12,Kim Edwards,2005.0,The Memory Keeper's Daughter,The Memory Keeper's Daughter,eng,3.64,501430,510582,18027,19453,47004,145437,183150,115538,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
112,15507958,15507958,17763198,168,670026603,9.78067002661e+12,Jojo Moyes,2012.0,Me Before You,"Me Before You (Me Before You, #1)",eng,4.27,587647,741133,71412,10346,21880,91517,249474,367916,https://images.gr-assets.com/books/1357108762m/15507958.jpg,https://images.gr-assets.com/books/1357108762s/15507958.jpg
113,168668,168668,814330,251,684833395,9.78068483339e+12,Joseph Heller,1961.0,Catch-22,Catch-22,en-US,3.98,563265,582515,13734,20639,37912,106269,186745,230950,https://images.gr-assets.com/books/1463157317m/168668.jpg,https://images.gr-assets.com/books/1463157317s/168668.jpg
114,6900,6900,1995335,172,751529818,9.78075152981e+12,"Mitch Albom, Saulius Dagys",1997.0,Tuesdays with Morrie,Tuesdays with Morrie,eng,4.06,556518,584397,19272,11507,30534,107446,194448,240462,https://images.gr-assets.com/books/1423763749m/6900.jpg,https://images.gr-assets.com/books/1423763749s/6900.jpg
115,2187,2187,1352495,125,312422156,9.78031242216e+12,Jeffrey Eugenides,2002.0,Middlesex,Middlesex,en-US,3.98,488243,507998,20880,19329,30503,89740,171099,197327,https://images.gr-assets.com/books/1437029776m/2187.jpg,https://images.gr-assets.com/books/1437029776s/2187.jpg
116,24583,24583,41326609,2448,143039563,9.78014303956e+12,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,eng,3.89,555359,594226,7165,12130,34349,143659,217896,186192,https://images.gr-assets.com/books/1404811979m/24583.jpg,https://images.gr-assets.com/books/1404811979s/24583.jpg
117,18131,18131,948387,165,440498058,9.78044049806e+12,Madeleine L'Engle,1962.0,A Wrinkle in Time,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US,4.04,615907,650094,19413,17313,34988,119115,209745,268933,https://images.gr-assets.com/books/1329061522m/18131.jpg,https://images.gr-assets.com/books/1329061522s/18131.jpg
118,7763,7763,1955658,126,143038095,9.78014303809e+12,Amy Tan,1989.0,The Joy Luck Club,The Joy Luck Club,eng,3.9,515090,525243,6708,14802,30197,116748,195930,167566,https://images.gr-assets.com/books/1304978653m/7763.jpg,https://images.gr-assets.com/books/1304978653s/7763.jpg
119,38447,38447,1119185,236,038549081X,9.78038549082e+12,Margaret Atwood,1985.0,The Handmaid's Tale,The Handmaid's Tale,eng,4.06,607889,683564,35925,13998,32561,116975,252942,267088,https://images.gr-assets.com/books/1498057733m/38447.jpg,https://images.gr-assets.com/books/1498057733s/38447.jpg
120,452306,452306,1058370,93,385729332,9.78038572934e+12,Ann Brashares,2001.0,The Sisterhood of the Traveling Pants,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng,3.75,525706,536604,6477,14996,42396,152024,177404,149784,https://images.gr-assets.com/books/1461611233m/452306.jpg,https://images.gr-assets.com/books/1461611233s/452306.jpg
121,7604,7604,1268631,370,,,"Vladimir Nabokov, Craig Raine",1955.0,Lolita,Lolita,eng,3.88,469836,517990,18107,21091,37205,108664,165477,185553,https://images.gr-assets.com/books/1377756377m/7604.jpg,https://images.gr-assets.com/books/1377756377s/7604.jpg
122,37442,37442,1479280,80,60987103,9.78006098711e+12,"Gregory Maguire, Douglas Smith",1995.0,Wicked: The Life and Times of the Wicked Witch of the West,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng,3.52,506900,525498,22926,40802,65835,132061,153583,133217,https://images.gr-assets.com/books/1437733293m/37442.jpg,https://images.gr-assets.com/books/1437733293s/37442.jpg
123,5358,5358,38270,11,582418275,9.78058241827e+12,John Grisham,1991.0,The Firm,"The Firm (Penguin Readers, Level 5)",eng,3.99,488269,488355,3139,5075,20119,111543,190966,160652,https://images.gr-assets.com/books/1418465200m/5358.jpg,https://images.gr-assets.com/books/1418465200s/5358.jpg
124,7937843,7937843,9585076,151,316098337,9.78031609834e+12,Emma Donoghue,2010.0,Room,Room,eng,4.03,511360,556327,42254,11020,26079,99831,217995,201402,https://images.gr-assets.com/books/1344265419m/7937843.jpg,https://images.gr-assets.com/books/1344265419s/7937843.jpg
125,1420,1420,1885548,1929,521618746,9.78052161875e+12,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,"The Tragicall Historie of Hamlet, Prince of Denmark",Hamlet,eng,4.0,515820,576894,8889,10413,32697,121040,192937,219807,https://images.gr-assets.com/books/1351051208m/1420.jpg,https://images.gr-assets.com/books/1351051208s/1420.jpg
126,234225,234225,3634639,241,340839937,9.78034083994e+12,Frank Herbert,1965.0,Dune,Dune (Dune Chronicles #1),eng,4.19,485032,525976,13239,13354,22778,74206,154771,260867,https://images.gr-assets.com/books/1434908555m/234225.jpg,https://images.gr-assets.com/books/1434908555s/234225.jpg
127,2612,2612,2124255,100,316346624,9.78031634663e+12,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference,eng,3.92,490504,499066,10895,15111,25871,106453,189120,162511,https://images.gr-assets.com/books/1473396980m/2612.jpg,https://images.gr-assets.com/books/1473396980s/2612.jpg
128,11084145,11084145,16005831,190,1451648537,9.78145164854e+12,Walter Isaacson,2011.0,Steve Jobs,Steve Jobs,eng,4.09,560715,579256,15198,19680,21986,88456,203975,245159,https://images.gr-assets.com/books/1327861368m/11084145.jpg,https://images.gr-assets.com/books/1327861368s/11084145.jpg
129,332613,332613,2100252,275,451163966,9.78045116397e+12,Ken Kesey,1962.0,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,eng,4.18,491642,514458,7855,5672,15978,78714,191622,222472,https://images.gr-assets.com/books/1485308778m/332613.jpg,https://images.gr-assets.com/books/1485308778s/332613.jpg
130,2165,2165,69741,666,684830493,9.78068483049e+12,Ernest Hemingway,1952.0,The Old Man and the Sea,The Old Man and the Sea,eng,3.73,520630,574328,16716,28645,52583,136217,186747,170136,https://images.gr-assets.com/books/1329189714m/2165.jpg,https://images.gr-assets.com/books/1329189714s/2165.jpg
